Startup name,Allowance/Assistance Type,Industry,Woman Led(SO Recognised),Retured Assessed,Employee Cost(21),Employee Cost(22),Expences(21),Expences(22),Income Tax(21),Income Tax(22),Rank,Revenue(21),Revenue(22),SGST(21),SGST(22)
PRANTAE SOLUTIONS (OPC) PRIVATE LIMITED,Y,HEALTHCARE AND LIFESCIENCES,Yes,2022,,4005208.4,,5364667.18,0,14536,169,,10866715.05,0,665003.62875
ODISOFT TECHNOLOGY PVT LTD,,TECHNOLOGY HARDWARE,,2022,1293213,1296522,2419446.86,3280730.51,0,33497.21,43,2522773.2,3399155.09,39207.99,104936.63175
SWARGADWARA SERVICES PRIVATE LIMITED,Y,EVENTS,,2022,802516,125300,1979486,286846,,,200,539578,215208,0,0
UDIYATE TECHNOLOGIES PRIVATE LIMITED,Y,INTERNET OF THINGS,,2022,594020,36000,804380,130750,0,0,181,804380,130750,0,0
CYCA ONCOSOLUTIONS,,HEALTHCARE AND LIFESCIENCES,,2022,1706400,6947300,5392400,12019900,,591100,15,5113500,14494400,233512.5,937080
ISERVEU TECHNOLOGY PRIVATE LIMITED,Y,FINANCE TECHNOLOGY,,2022,45520000,95960000,415524000,803667000,1383000,985000,1,420842000,806538000,31413150,60340350
ADIT BIOSCIENCE PRIVATE LIMITED,Y,PETS AND ANIMALS,Yes,2022,734900,493750,1836555,861694,,,178,1742181,684424,0,0
MEDTEL HEALTHCARE PRIVATE LIMITED,Y,HEALTHCARE AND LIFESCIENCES,,2022,1284631,9417337,9169017,30308085.14,,,24,5461711,11245764.14,259628.325,693432.3105
DD BIO SOLUTION TECHNOLOGY PRIVATE LIMITED,Y,AGRICULTURE,,2022,194780,125490,745992,444728.34,,,333,664475,301955,0,0
AJATUS SOFTWARE PRIVATE LIMITED,Y,ENTERPRISE SOFTWARE,,2022,6088303,7310815,7641951,9953685,119648,214475,40,8102134,10778589,457660.05,658394.175
VASITARS PRIVATE LIMITED,Y,OTHERS,,2022,3354876,8989199,7719333,19928187,,8654644,11,6284781,30319729,321358.575,2123979.675
CREDENCE REDEFINED SERVICES PRIVATE LIMITED,,OTHERS,,2022,1487921,2204677,3514696,4654149,23269,59778,42,3604193,4851834,120314.475,213887.55
ALTRASYS TECHNOLOGIES PRIVATE LIMITED,Y,ANALYTICS,,2022,932000,454155,1173998,712854,0,,338,1216000,157324,0,0
INNOCULE MATERIALS AND ADDITIVES PRIVATE LIMITED,Y,CHEMICALS,,2022,8200000,17770000,80760000,158436000,1806000,4486000,2,87670000,175760000,6425250,13032000
INNOVIAN TECHNOLOGY PRIVATE LIMITED,,IT SERVICES,,2022,,,23698.55,19130.15,,,205,,0,0,0
PHOENIX ROBOTIX PRIVATE LIMITED,Y,TECHNOLOGY HARDWARE,,2022,8676402,17174890.81,28364838.63,53153248.14,,,17,18239667.22,29283786.18,1217975.0415,2046283.9635
PAZ FARMING AND SOLUTIONS PRIVATE LIMITED,,AGRICULTURE,,2022,155500,108000,509664,436521,,,340,276244,71005,0,0
ETRIX TECHNOLOGIES PRIVATE LIMITED,Y,AR/VR - AUGMENTED + VIRTUAL REALITY,,2022,420107,395048,1194041,804425,12699,10642,329,1234741,838527,0,0
SAKROBOTIX LAB PRIVATE LIMITED,,ROBOTICS,,2022,901490,1201971,1694565,2556156,0,32884,30,1715911,2660909,0,49568.175
WIZY SERVICES PRIVATE LIMITED,,HOUSE-HOLD SERVICES,,2022,,,98818.55,8735.84,,,345,,0,0,0
SCIUS SOLUTION PRIVATE LIMITED,Y,IT SERVICES,,2022,67985,1280000,142647,1473181,642,13732,31,145720,1526701,0,0
SUKANTI HANDLOOM PRIVATE LIMITED,,TEXTILES AND APPAREL,,2022,246500,97850,783441,233569,2040,1354,179,789100,235238,0,0
SANTAAN FERTILITY CENTER AND RESEARCH INSTITUTE PV,Y,HEALTHCARE AND LIFESCIENCES,,2022,3953980,10305370,28305440,42719020,549500,1344200,9,30841590,47436470,2163119.25,3407735.25
INFOCREATIVES SERVICES PRIVATE LIMITED (OPC),,IT SERVICES,,2022,0,0,0,0,0,0,199,0,0,0,0
GRUHA MINI MART PVT. LTD.,,OTHERS,,2022,616943.71,532342,12093394.94,2676948.46,25024,,328,12132924.18,1624284.24,759969.3135,0
FORWARD EYE CONSULTING PVT. LTD.,,EDUCATION,Yes,2022,3104464,2472117,5463263.41,4386557,148540,94407,172,5910000,4693560,293250,202017
SHAKAMBAREE ORGANICS PRIVATE LIMITED,,MARKETING,,2022,,,6500,6500,,,184,,0,0,0
VILLA MART PRIVATE LIMITED,Y,OTHERS,,2022,2740650,1708650,48260760,40492270,20040,0,155,48466010,40694460,3484950.75,2902084.5
WEBCRUNCH TECHNOLOGY PRIVATE LIMITED,,IT SERVICES,,2022,8168635,8700325,10130686,11978703,250581,293489,92,11086295,13009332,681472.125,825699.9
OOHLALARE TECHNOLOGY PRIVATE LIMITED,,IT SERVICES,,2022,,,5900,,,0,184,,0,0,0
WHITEPEN TECHNOLOGIES PRIVATE LIMITED,,OTHERS,,2022,,,,20326,,,204,20356,0,0,0
KALINGA RENEWABLE ENERGY MANUFACTURERS PRIVATE LIM,,RENEWABLE ENERGY,,2022,5852417,6371159,29265174,61529016,503217,529953,21,30677972,63178017,2150847.9,4588351.275
ODITEK SOLUTIONS PRIVATE LIMITED,,IT SERVICES,,2022,15925881,15525164,21389950,24006955,440517,581950,85,22915533,26245225,1568664.975,1818391.875
ZAMURA SOFTWARE TECHNOLOGIES PRIVATE LIMITED,,IT SERVICES,,2022,,,158427.37,34051.74,,,184,13239,0,0,0
MACHPHY SOLUTIONS PRIVATE LIMITED,Y,GREEN TECHNOLOGY,,2022,87850,,3643767,2245100,6327,28300,174,3646069,2344300,123455.175,25822.5
ARANYAK ECOHARVEST PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,180000,132500,2101683,4693171,3530,5430,22,2124288,5077713,9321.6,230828.475
AYUSLA PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,216000,176511,839925,590,4466,33,178872,862143,0,0
YOR SMARTRIDE PRIVATE LIMITED,,OTHERS,,2022,525500,1245950,1790919.88,3081407.72,0,0,37,1923257,3270163.17,0,95262.23775
NAVDHI SOLUTIONS (OPC) PRIVATE LIMITED,,IT SERVICES,,2022,,,23363.37,33595.18,2020.33,0,45,30000,40000,0,0
HALO DENTIST INDIA PRIVATE LIMITED,Y,HEALTHCARE AND LIFESCIENCES,,2022,,,294692,126203,,,341,282350,60000,0,0
MUVI ENTERTAINMENT PRIVATE LIMITED,,IT SERVICES,,2022,97553539,149355151,109451622,169243138,915419,1219372,5,112972464,173933031,8322934.8,12894977.325
AETHER INNOVATIONS PRIVATE LIMITED,Y,FOOD AND BEVERAGES,,2022,0,0,0,0,0,0,197,0,0,0,0
CAPTIVATING EPICURE PRIVATE LIMITED,Y,FOOD AND BEVERAGES,,2022,2454000,2799000,24708000,34098000,83000,,84,25036000,30358000,1727700,2126850
MOBITRIX ENTERPRISE PRIVATE LIMITED,,IT SERVICES,,2022,770964,1549484,808837,1565133,,,137,790000,1549000,0,0
APPVISIO CONSULTING SERVICES PRIVATE LIMITED,,IT SERVICES,,2022,405881,647200,690185,1591520,,,139,17290,1045619,0,0
ITEBO TECHNOLOGY,,HEALTHCARE AND LIFESCIENCES,,2022,,,129741.68,116779.16,,,184,128383,0,0,0
HARVESTWILD ORGANIC SOLUTIONS PVT LTD,,AGRICULTURE,,2022,3072600,3423900,11502300,15774300,,,46,11281900,14788100,696142.5,959107.5
THOOMRI.COM PVT.LTD,Y,OTHERS,,2022,723710,674800,5023819.05,5636645.11,10090,11350,145,5062602,5680273,229695.15,276020.475
SMALLDAY IT SERVICES PRIVATE LIMITED,,DATING/MATRIMONIAL,,2022,7162929,13067395,7900355,14075320,339119,950554,10,10690636,17731297,651797.7,1179847.275
KALPANA AGROTECH PRIVATE LIMITED,Y,AGRICULTURE,,2022,480000,540000,9196796,9870838,,1329,149,9165820,9877779,537436.5,590833.425
EKISTICS SOLUTIONS PVT. LTD.,,INTERNET OF THINGS,,2022,6060938,517275,11044433.67,951902.99,1138634.99,212951.65,171,15227263,1782062.88,992044.725,0
ODISHA MERCHANDISE PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,,,3218117,3330210,,,143,36648,57686,0,0
MAVSTACK SOLUTIONS PRIVATE LIMITED,,IT SERVICES,,2022,154600,230000,2073854,3938207,5610.75,10970,28,2089942,3982513,6745.65,148688.475
EXTRUDER ENGINEERING AGENCIES PRIVATE LIMITED,,IT SERVICES,,2022,,979356,111025,2133999,,8314,67,34238,2256768,0,19257.6
MUNDA CLOTHING PRIVATE LIMITED,,TEXTILES AND APPAREL,,2022,1602000,3198450,2493935,4487851,18783,46262,52,2566176,4665784,42463.2,199933.8
SNEGO PHARMACEUTICALS PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,49500,54000,308090,459950,,,65,307220,418060,0,0
MOTHER DIAGNOSTIC SYSTEMS PRIVATE LIMITED,Y,HEALTHCARE AND LIFESCIENCES,,2022,,9602,266288,262346,,,184,,0,0,0
HOMVERY PRIVATE LIMITED,Y,HOUSE-HOLD SERVICES,,2022,,,3774878.72,10920156.52,1134,14322,47,3779240,10975243,133443,673143.225
HEALTHITUDE TECHNOLOGY PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,,6450,14000,,,198,0,0,0,0
SAMSILA CREATIONS PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,,219970,4190,3130,,235,230000,0,0,0
