Startup name,Allowance/Assistance Type,Industry,Woman Led(SO Recognised),Retured Assessed,Employee Cost(21),Employee Cost(22),Expences(21),Expences(22),Income Tax(21),Income Tax(22),Rank,Revenue(21),Revenue(22),SGST(21),SGST(22),revenue_23_pred,revenue_24_pred,revenue_25_pred,Total_Revenue_Last_2_Years
ISERVEU TECHNOLOGY PRIVATE LIMITED,Y,FINANCE TECHNOLOGY,,2022,45520000.0,95960000.0,415524000.0,803667000.0,1383000.0,985000.0,1,420842000.0,806538000.0,31413150.0,60340350.0,1446516045.413197,2595068308.639265,4656345739.664276,1227380000.0
MUVI ENTERTAINMENT PRIVATE LIMITED,,IT SERVICES,,2022,97553539.0,149355151.0,109451622.0,169243138.0,915419.0,1219372.0,5,112972464.0,173933031.0,8322934.8,12894977.325,311196054.2346005,557538498.5157394,999642995.5927718,286905495.0
OTECH SOFT SOLUTION PRIVATE LIMITED,,IT SERVICES,,2022,26738892.0,31593572.0,96219042.0,177790706.0,543654.0,702305.0,8,98378220.0,180491917.0,7228366.5,13386893.775,322967119.52900136,578663728.9535072,1037555907.456498,278870137.0
INNOCULE MATERIALS AND ADDITIVES PRIVATE LIMITED,Y,CHEMICALS,,2022,8200000.0,17770000.0,80760000.0,158436000.0,1806000.0,4486000.0,2,87670000.0,175760000.0,6425250.0,13032000.0,314474868.8671229,563422903.4478664,1010203586.9301972,263430000.0
DEARLIFE EMPOWER INDIA PRIVATE LIMITED,,MARKETING,,2022,9021194.16,8154119.37,106926857.89,102967027.53,2517848.44,915575.78,135,116614890.91,106486719.51,8596116.81825,7836503.96325,190151880.51130545,340303609.4806648,609777084.9710922,223101610.42000002
INDNA LIFESCIENCES PVT LTD,,BIOTECHNOLOGY,,2022,10823928.0,22171027.0,61303182.0,86131911.0,2787705.0,2812304.0,4,75338331.0,100882436.0,5500374.825,7416182.7,180094015.94031826,322253016.65326524,577382146.7492718,176220767.0
KEABIS TECHNOLOGY PVT LTD,,IT SERVICES,Yes,2022,17077545.0,26521717.0,37606902.0,112364064.0,,597911.0,6,25729057.0,113308624.0,1779679.275,8348146.8,202394978.37639356,362275984.7248285,649210345.9962308,139037681.0
ACCVEIL SOLUTIONS PRIVATE LIMITED,,ENTERPRISE SOFTWARE,Yes,2022,2707500.0,3622109.0,47139411.0,87328782.0,85701.0,209148.0,14,47477570.0,88133208.0,3410817.75,6459990.6,157213301.86155495,281189583.1062209,503686650.6704331,135610778.0
AD9 SYNTHETIC AND SPORTS PRIVATE LIMITED,,CONSTRUCTION,,2022,7577674.0,5207402.0,52284054.0,54856711.0,758326.0,823846.0,105,55200693.0,57907253.0,3990051.975,4193043.975,102967551.91398436,183836120.25039533,328968875.7446378,113107946.0
ASICZEN TECHNOLOGIES INDIA PVT LTD,,INTERNET OF THINGS,,2022,16999642.0,31636508.0,42443208.0,69734086.0,,662895.0,3,22901586.0,88131146.0,1567618.95,6459835.95,157209601.2427857,281182941.70017076,503674731.50851095,111032732.0
